final_text,label
penerangan jalan umum pju apakah di kecamatan cibugel akan diadakan penambahan lampu penerangan jalan umum pju karena di kecamatan cibugel saya rasa masih kurang lampu pju nya banyak jalanan yang gelap hanya mengandalkan penerangan dari rumah warga yang kebetulan rumahnya dipinggir jalan mohon bantuan informasinya bapak ibu,HIGH
konsultasi pengaduan cara pengaduan atau konsultasi terkait ternak tetangga yang menimbulkan bau mengganggu kenyamanan tetangga lainya,MEDIUM
warga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalaiwarga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalai warga perumahan queensland residence di dusun cigangsa desa cijati kecamatan situraja mengeluhkan buruknya fasilitas dasar yang seharusnya menjadi tanggung jawab pihak pengembang sejak dua tahun berdiri perumahan tersebut diduga belum memenuhi standar kelayakan terutama dalam penyediaan listrik air bersih dan drainase dari total unit rumah yang telah dibangun baru unit yang sudah ditempati warga namun hingga kini fasilitas listrik per rumah belum terpasang secara mandiri,MEDIUM
keluhan copy resep pemnelian obat diluar apotek rsud umar wirahadikusumah kronologi kejadian tanggal januari datang kontrol berobat ke poli dalam diberikan copy resep untuk membeli obat diluar seharga datang kembali berobat ke poli dalam mengambil obat ke apotek rawat jalan tanggal februari jadwal kontrol berubah karena ada pemberitahuan perubahan jadwal mengeluhkan tentang pembelian obat copy resep diluar kepada pihak apotek rawat jalan lalu mendapatkan informasi dari bapak herman petugas apotek rawat jalan bahwa obat copy resep yang dibeli diluar rsud dapat penggantian dari rsud pembelian obat copyresep diluar seharga rp di ganti oleh rsud pada tanggal februari tetapi kenapa pada saat berobat kembali ke poli dalam dan mendapatkan kembali copy resep beli obat diluar seharga rp jawaban dari bapak herman tidak dapat mengajukan penggantian kepada rsud karena hanya boleh satu bulan satu kali penggantian dan hanya obat generik saja yang mendapat penggantian dan pada saat pengembalian uang yang pertama juga rp sebetulnya itu ada kekeliruan sebagai pasien berharap ada keterbukaan informasi publik aturan harus jelas disampaikan secara lengkap,LOW
tpt dapur rumah ambruk waktu kejadian senin mei pkl wiblokasi dusun pasirmalang rukun tetangga rukun warga desa cibunar kec rancakalongb uraian kejadian pada hari minggu mei pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt rumah bagian dapur ambruk a n abdul yazid darmawan dan iwan material longsoran menimpa rumah an dede,HIGH
permintaan kartu kia izin melaporkan bahwa saya telah melakukan permintaan penerbitan kartu kia untuk anak saya di web pemkab sumedang yaitu tahu sumedang go id dan di web nya status sudah selesai dalam pengiriman tapi saya belum menerima kartu kia nya berbeda dengan sblmnya permintaan ktp saya lewat web jg langsung jadi dan diterima saya sesuai status mohon dibantu saya jg lampirkan bukti webnya,LOW
proses penyelesaian sertifikat tanah yang tidak kunjung selesai proses penyelesaian sertifikat tanah yang tidak kunjung selesai disampaikan melalui surat aduan perihal tindak lanjut atas pengaduan dan ketidaktepatan pelaksanaan surat pernyataan oleh pegawai kelurahan situ,LOW
pengaduan pasien melalui google review dan whatsapp pengaduan tgl november sumedang november kepada yth bapak ibu pasien rsud umar wirahadikusumah kabupaten sumedang di pelayanan kinerja pekerja rumah sakit terhadap pasien untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien alasan di tolak icu karena penolakan tindakan operasi tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu syarat masuk icu emang harus apa operasi saja jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada jangan suka memilah pasien karena bpjs nya dari pemerintah tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaterimakasihsaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya terimakasih,HIGH
informasi benih ikan upami bibit nila merah bangkok nyondong bapak,LOW
tpt halaman rumah ambruk akibat intensitas hujan lebat um at april pkl wiblokasi dusun cibawang rukun tetangga rukun warga desa sukasirnarasa kec rancakalongpada hari jumat april pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt halaman rumah longsor panjang meter dan tinggi meter,HIGH
saran terkait cara untuk mendorong minat kaum muda masuk ke sektor pertanian mantap seperti itulah sebaran petani di sumedang berdasarkan usia tinggal bagaimana caranya agar dapat mendorong minat kaum muda dapat turun ke sektor pertanian sebagai pelaku usaha sekaligus pekerja mudah mudahan dapat solusi yang terbaik untuk kemajuan sektor pertanian di kabupaten sumedang tetap semangat,LOW
pembuatan nib apakah pembuatan izin mendirikan bangunan imb bisa dibuat di kantor kecamatan kalau bisa persyaratannya apa saja,LOW
permohonan dokumen kk menanyakan dokumen kk atas nama iroh sudah selesai apa belum,LOW
laporan wa kepo sumedang terkait kesejateraan sosial masyarakat dusun lebakkaso desa cikahuripan asalamualaikum nama maman rudialamat dsn ci jengkol sumedangusia th hp isi pengaduan abdi gaduh wargi nu linggih di kp lebakkaso rukun tetangga rukun warga desa ci kahuripan kec cimanggung kab sumedang bade klarifikasi masalah pemerintahan desa naha teu aya kabijakan dugi ka keluarga seolah di hare harekeun di segala bidang dugi ka situasi ayeuna termasuk bantuan rutilahu dugi ka rumahnya dk runtuh nu gaduh bumi dugi ka di ungsikeun ka putra na tos tilu tahun bari jeung eta nu gaduh bumi atas nami ibu ocih tos teu ningal ngagaduhan panyawat katarak atuh anu ka cicingan atas nami ibu iah ayeuna teu damang ngagaduhan panyawat batu empedu nembe beres di oprasi di rsud hermina bandung nmbe beres,LOW
rumpun bambu menimpa jalan telah terjadi rumpun bambu menimpa jalan provinsi subang sumedang di dusun cikondang desa sukamaju pada hari kemarin akibat curah hujan yang tinggi,MEDIUM
longsor terjadi longsor di wilayah dusun rancakalong rukun tetangga rukun warga depan rumah bpk nedi herisetiawan pada hari kamis april sore hari tidak ada korban jiwa,HIGH
tidak diterangkan diagnosa di awal sampai perawatan diakhir di ruang nicu tidak ada penjelasan diagnosa meminta penjelasan diagnosa dari awal sampai pasien dirujuk ke ruang picu pasien masuk igd tanggal september pasien pecah ketuban dengan kehamilan minggu diberi obat agar tidak mulas mulas pukul masuk ruang vk lahir normal lalu bayi masuk ruang melati tanggal september pasien diijinkan pulang beserta bayinya oleh dokter pada tanggal yang sama september pukul pasien bayi dibawa ke igd dengan keluhan bayi tidak mau menyusu dan tidak menangis tanggal september pukul pasien bayi dipindahkan ke ruang nicu lalu pukul dipindahkan ke ruang picu perawat mengabarkan kepada orang tua bayi orang tua bayi menanyakan hasil rontgen perawat mengabarkan hasil rontgen belum keluar dan tidak ada penjelasan dari pihak ruang picu dan nicu bayi dinyatakan meninggal pada tanggal september pukul pasien menbawa jenazah bayi tidak memakai ambulance memakai mobil pribadi pengaduan keluraga pasien menanyakan kenapa bayi saya dipulangkan pada hari senin september ketika memang ada kendala pada hari yang sama dan saya tidak mendapat penjelasan ketika bayi saya meninggal pada hari selasa september hasil rontgen pun tidak diketahui,HIGH
mekanisme pemberian bantuan benih ikan maaf kalau boleh tau untuk dapat bantuan benih ikan nila nirwana ini harus gimana ya,LOW
informasi layanan kesehatan hewan assalamu alaikum mau tanya kalo untuk pengobatan anjing yang sakit gak mau makan kaya dehidrasi kena biaya berapa ya,LOW
konsultasi pencairan honor bagi pegawai di kecamatan assalamualaikum selamat pagi saya mau menanyakan perihal honor sumedang selatan belum juga cair waktu senin saya mengantarkan pengajuan ke satpam tolong secepatnya proses,LOW
longsor telah terjadi longsor pad tanggal malam hari menimpa rumah warga di dusun legok picung ds pamekaran korban seorang lansia mengalami luka ringan,HIGH
saran untuk mendorong generasi muda agar masuk ke sektor pertanian penerapan bertahap revolusi pertanian yaitudigital farmingsmart livestockprecision agriculturee commerce agribisnisyang lebih cepat diadopsi oleh generasi muda,LOW
biaya pelayanan kesehatan hewan assalamualaikum maaf boleh nanya klo biaya untuk steril kucing jantan brp ya,LOW
lansia terlantar seorang tiktoker melaporkan ada lansia yang terlantar di pinggir jalan sekitar kecamatan rancakalong,MEDIUM
pengajuan kelompok ternak mau pengajuan peternakan gimana caranya,LOW
longsor longsor menimpa halaman rumah ibu esih sekira pukul pada hari senin di dusun sindang rukun tetangga desa rancakalong,HIGH
koordinasi terkait kepengurusan kdmp koordinasi terkait kepengurusan kdmp ketua bpd pasirbiru dengan bapak sekcam bapak kasi pemdes bapak kasi pemum dan staf pemdes,LOW
rumah roboh pada hari ini minggu tanggal februari pukul wib bertempat di dsn bakan jambe rukun tetangga ds cibungur kec rancakalong kasi trantibum babinkamtibmas dan babinsa ds cibungurtelah mendatangi tkp terjadi rumah ukuran p m l m t m roboh yang diakibatkan oleh belum diperbaiki akibat bencana lini dan kondisi rumah sudah rapuh akibat kejadian tersebut menimpa penghuni rumah an bapa sarma th islam tani alamat dsn bakan jambe ds cibungur kec rancakalong luka ringan dan menjalani rontgent ke rsu sumedang dan an rendi th pelajar alamat dsn bakan jambe rukun tetangga ds cibungur kec rancakalong mengalami luka ringan,HIGH
pengaduan pasien melalui google review dan whatsapp pengaduan tgl november nama lengkap raka eki febrian nomor hp pekerjaan perawat kelurahan desa desa margamekar kecamatan sumedang selatan kabupaten kota sumedangdetail pertanyaan lengkap pelayanan kinerja pekerja rumah sakit terhadap pasien untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien alasan di tolak icu karena penolakan tindakan operasi tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu syarat masuk icu emang harus apa operasi saja jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada jangan suka memilah pasien karena bpjs nya dari pemerintah tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaterimakasihsaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya terimakasih,HIGH
permintaan bantuan korban longvsor telah terjadi longsor di dusun gombong rukun tetangga rukun warga desa sukamukti kecamtan tanjungmedar,HIGH
pembelian bibit ikan min minta info untuk mencari bibit ikan nila belanda sama gurame soang,LOW
obat pasien tertukar di ruangan anyelir telah datang komplenan dari keluarga pasien tentang tertukar diagnosa obat di ruang anyelir pasien pulang pada hari senin kmrin tanggal feb siang dengan identitas sebagai berikutpasien a n mumun alamat cisarua perempuan tertukar dengan pasien a n yuyum yumiati alamat link patung kotakaler perempuanlangsung datang ke ruangan perawat anyelir,HIGH
permintaan informasi terkait surat keterangan untuk magang assalamu alaikum bapak ibusaya mau memastikan untuk berkas administrasi seperti surat pengantar kampus dan cv apakah perlu saya antarkan jauh jauh hari sebelum mulai magang atau bisa diserahkan pada saat hari pertama magang nanti takutnya ada proses yang harus dilakukan lebih awal jadi saya ingin memastikan supaya tidak mengganggu alur administrasinya bapak ibu,LOW
informasi benih ikan tumaros sakedik bbi pada suka ngical larva teu,LOW
aduan masyarakat terkait infrastruktur permukiman yth dinas perumahan kawasan permukiman dan pertanahan perkimtan kabupaten sumedang sehubungan dengan adanya laporan masyarakat terkait kondisi lapangan di perumahan ikopin bersama ini kami sampaikan bahwa dinas pupr telah menerima pengaduan dimaksud berdasarkan hasil identifikasi awal penanganan lapangan tersebut merupakan kewenangan dinas perumahan kawasan permukiman dan pertanahan perkimtan oleh karena itu sesuai arahan pimpinan kami perlu menyampaikan laporan ini secara langsung kepada instansi yang memiliki kewenangan agar dapat ditindaklanjuti sesuai ketentuan yang berlaku demikian laporan singkat ini kami sampaikan sebagai bahan koordinasi dan tindak lanjut atas perhatian dan kerja samanya diucapkan,LOW
informasi bantuan perikanan dan peternakan mau tanya ada program bantuan dari bidang peternak perikanan,LOW
tpt dapur rumah ambruk akibat intensitas hujan lebat yang disertai angin kencang pada hari senin april pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt rumah bagian dapur ambruk a n asep lili usia tahun material longsoran menimpa rumah an darya usia tahun,HIGH
permintaan informasi terkait sekolah pertanian di sumedang ada berapa sekolah pendidikan jurusan pertanian di sumedang,LOW
informasi perihal penyuluhan dan bantuan benih ikan admin mau tanya untuk mendapatkan penyuluhan dan bibit gratis itu bagaimana kebetulan kita kelompok tani di desa situmekar kecamatan cisitu mohon info,LOW
informasi layanan kesehatan hewan permisi bapak ibu saya mau tanya jam buka untuk pemeriksaan hewan jam berapa ya,LOW
