judul,isi_laporan,info,link,clean_text,judul_clean,final_text,label,low,med,high
Penerangan Jalan Umum (PJU),"Apakah Di Kecamatan Cibugel akan diadakan penambahan lampu Penerangan jalan umum (PJU) ?, karena di kecamatan cibugel saya rasa masih kurang lampu PJU nya ,banyak jalanan yang gelap , hanya mengandalkan penerangan dari rumah warga yang kebetulan rumahnya dipinggir jalan ... Mohon bantuan informasinya pak / bu",,https://www.lapor.go.id/laporan/detil/penerangan-jalan-umum-pju--202602240854421771898082683,apakah di kecamatan cibugel akan diadakan penambahan lampu penerangan jalan umum pju karena di kecamatan cibugel saya rasa masih kurang lampu pju nya banyak jalanan yang gelap hanya mengandalkan penerangan dari rumah warga yang kebetulan rumahnya dipinggir jalan mohon bantuan informasinya bapak ibu,penerangan jalan umum pju,penerangan jalan umum pju apakah di kecamatan cibugel akan diadakan penambahan lampu penerangan jalan umum pju karena di kecamatan cibugel saya rasa masih kurang lampu pju nya banyak jalanan yang gelap hanya mengandalkan penerangan dari rumah warga yang kebetulan rumahnya dipinggir jalan mohon bantuan informasinya bapak ibu,HIGH,130,121,121
Konsultasi Pengaduan,Cara pengaduan atau konsultasi terkait ternak tetangga yg menimbulkan bau mengganggu kenyamanan tetangga lainya,,https://www.lapor.go.id/laporan/detil/konsultasi-pengaduan-202604061415361775459736252,cara pengaduan atau konsultasi terkait ternak tetangga yang menimbulkan bau mengganggu kenyamanan tetangga lainya,konsultasi pengaduan,konsultasi pengaduan cara pengaduan atau konsultasi terkait ternak tetangga yang menimbulkan bau mengganggu kenyamanan tetangga lainya,MEDIUM,,,
"Warga Perumahan Queensland Sumedang Keluhkan Krisis Air Dan Listrik,Sistem Grenase Buruk . Pengembang Diduga Lalaiwarga Perumahan Queensland Sumedang Keluhkan Krisis Air Dan Listrik,Sistem Grenase Buruk . Pengembang Diduga Lalai","Warga perumahan queensland residence di dusun cigangsa, desa cijati, kecamatan situraja, mengeluhkan buruknya fasilitas dasar yang seharusnya menjadi tanggung jawab pihak pengembang. sejak dua tahun berdiri, perumahan tersebut diduga belum memenuhi standar kelayakan, terutama dalam penyediaan listrik, air bersih, dan drainase.
dari total 20 unit rumah yang telah dibangun, baru 14 unit yang sudah ditempati warga. namun, hingga kini fasilitas listrik per rumah belum terpasang secara mandiri.","  SENIN, 2025/12/22 |   PERMUKIMAN |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/warga-perumahan-queensland-sumedang-keluhkan-krisis-air-dan-listrik-sistem-grenase-buruk-pengembang-diduga-lalaiwarga-perumahan-queensland-sumedang-keluhkan-krisis-air-dan-listrik-sistem-grenase-buruk-pengembang-diduga-lalai-202512220958371766372317379,warga perumahan queensland residence di dusun cigangsa desa cijati kecamatan situraja mengeluhkan buruknya fasilitas dasar yang seharusnya menjadi tanggung jawab pihak pengembang sejak dua tahun berdiri perumahan tersebut diduga belum memenuhi standar kelayakan terutama dalam penyediaan listrik air bersih dan drainase dari total unit rumah yang telah dibangun baru unit yang sudah ditempati warga namun hingga kini fasilitas listrik per rumah belum terpasang secara mandiri,warga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalaiwarga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalai,warga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalaiwarga perumahan queensland sumedang keluhkan krisis air dan listrik sistem grenase buruk pengembang diduga lalai warga perumahan queensland residence di dusun cigangsa desa cijati kecamatan situraja mengeluhkan buruknya fasilitas dasar yang seharusnya menjadi tanggung jawab pihak pengembang sejak dua tahun berdiri perumahan tersebut diduga belum memenuhi standar kelayakan terutama dalam penyediaan listrik air bersih dan drainase dari total unit rumah yang telah dibangun baru unit yang sudah ditempati warga namun hingga kini fasilitas listrik per rumah belum terpasang secara mandiri,MEDIUM,,,
Keluhan copy resep pemnelian obat diluar Apotek RSUD Umar Wirahadikusumah,"Kronologi kejadian :Tanggal 9 Januari 2026 datang kontrol berobat ke Poli Dalam diberikan copy resep untuk membeli obat diluar seharga 468.000. Datang kembali berobat ke Poli Dalam mengambil obat ke apotek Rawat Jalan Tanggal 18 Februari 2026 (Jadwal kontrol berubah karena ada pemberitahuan perubahan jadwal). Mengeluhkan tentang pembelian obat copy resep diluar kepada pihak Apotek Rawat Jalan lalu mendapatkan informasi dari Pa Herman petugas Apotek Rawat Jalan bahwa obat copy resep yang dibeli diluar RSUD dapat penggantian dari RSUD. Pembelian obat copyresep diluar seharga Rp. 468.000,- di ganti oleh RSUD pada tanggal 20 Februari. Tetapi kenapa pada saat berobat kembali ke Poli Dalam dan mendapatkan kembali copy resep beli obat diluar seharga Rp. 371.500,- jawaban dari Pa Herman tidak dapat mengajukan penggantian kepada RSUD karena hanya boleh satu bulan satu kali penggantian dan hanya obat generik saja yang mendapat penggantian dan pada saat pengembalian uang yang pertama juga Rp. 468.000,- sebetulnya itu ada kekeliruan.Sebagai pasien berharap ada keterbukaan informasi publik.Aturan harus jelas disampaikan secara lengkap.",,https://www.lapor.go.id/laporan/detil/keluhan-copy-resep-pemnelian-obat-diluar-apotek-rsud-umar-wirahadikusumah-202603091014201773026060525,kronologi kejadian tanggal januari datang kontrol berobat ke poli dalam diberikan copy resep untuk membeli obat diluar seharga datang kembali berobat ke poli dalam mengambil obat ke apotek rawat jalan tanggal februari jadwal kontrol berubah karena ada pemberitahuan perubahan jadwal mengeluhkan tentang pembelian obat copy resep diluar kepada pihak apotek rawat jalan lalu mendapatkan informasi dari bapak herman petugas apotek rawat jalan bahwa obat copy resep yang dibeli diluar rsud dapat penggantian dari rsud pembelian obat copyresep diluar seharga rp di ganti oleh rsud pada tanggal februari tetapi kenapa pada saat berobat kembali ke poli dalam dan mendapatkan kembali copy resep beli obat diluar seharga rp jawaban dari bapak herman tidak dapat mengajukan penggantian kepada rsud karena hanya boleh satu bulan satu kali penggantian dan hanya obat generik saja yang mendapat penggantian dan pada saat pengembalian uang yang pertama juga rp sebetulnya itu ada kekeliruan sebagai pasien berharap ada keterbukaan informasi publik aturan harus jelas disampaikan secara lengkap,keluhan copy resep pemnelian obat diluar apotek rsud umar wirahadikusumah,keluhan copy resep pemnelian obat diluar apotek rsud umar wirahadikusumah kronologi kejadian tanggal januari datang kontrol berobat ke poli dalam diberikan copy resep untuk membeli obat diluar seharga datang kembali berobat ke poli dalam mengambil obat ke apotek rawat jalan tanggal februari jadwal kontrol berubah karena ada pemberitahuan perubahan jadwal mengeluhkan tentang pembelian obat copy resep diluar kepada pihak apotek rawat jalan lalu mendapatkan informasi dari bapak herman petugas apotek rawat jalan bahwa obat copy resep yang dibeli diluar rsud dapat penggantian dari rsud pembelian obat copyresep diluar seharga rp di ganti oleh rsud pada tanggal februari tetapi kenapa pada saat berobat kembali ke poli dalam dan mendapatkan kembali copy resep beli obat diluar seharga rp jawaban dari bapak herman tidak dapat mengajukan penggantian kepada rsud karena hanya boleh satu bulan satu kali penggantian dan hanya obat generik saja yang mendapat penggantian dan pada saat pengembalian uang yang pertama juga rp sebetulnya itu ada kekeliruan sebagai pasien berharap ada keterbukaan informasi publik aturan harus jelas disampaikan secara lengkap,LOW,,,
TPT Dapur Rumah Ambruk,"Waktu kejadian:Senin, 3 Mei 2026 pkl 18.45 WIBLokasi : Dusun Pasirmalang RT 01 RW 05 Desa Cibunar Kec. RancakalongB. Uraian Kejadian:Pada hari Minggu, 6 Mei 2026 Pukul 18.30 WIB cuaca EXTREME ( Hujan dengan Intensitas Tinggi) mengakibatkan TPT Rumah Bagian Dapur Ambruk a.n Abdul Yazid, darmawan dan iwan , material longsoran menimpa rumah an Dede.",,https://www.lapor.go.id/laporan/detil/tpt-dapur-rumah-ambruk-202605040830271777858227714,waktu kejadian senin mei pkl wiblokasi dusun pasirmalang rukun tetangga rukun warga desa cibunar kec rancakalongb uraian kejadian pada hari minggu mei pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt rumah bagian dapur ambruk a n abdul yazid darmawan dan iwan material longsoran menimpa rumah an dede,tpt dapur rumah ambruk,tpt dapur rumah ambruk waktu kejadian senin mei pkl wiblokasi dusun pasirmalang rukun tetangga rukun warga desa cibunar kec rancakalongb uraian kejadian pada hari minggu mei pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt rumah bagian dapur ambruk a n abdul yazid darmawan dan iwan material longsoran menimpa rumah an dede,HIGH,,,
Permintaan Kartu Kia,"Izin melaporkan bahwa sy telah melakukan permintaan penerbitan kartu kia utk anak saya di web pemkab sumedang yaitu tahu.sumedang.go.id. dan di web nya status sudah selesai dalam pengiriman. tapi saya blm menerima kartu kia nya. berbeda dgn sblmnya permintaan ktp sy lewat web jg langsung jadi dan diterima sy sesuai status. mohon dibantu
sy jg lampirkan bukti webnya","  SELASA, 2026/01/20 |   APLIKASI KEPENDUDUKAN |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permintaan-kartu-kia-202601202053571768917237609,izin melaporkan bahwa saya telah melakukan permintaan penerbitan kartu kia untuk anak saya di web pemkab sumedang yaitu tahu sumedang go id dan di web nya status sudah selesai dalam pengiriman tapi saya belum menerima kartu kia nya berbeda dengan sblmnya permintaan ktp saya lewat web jg langsung jadi dan diterima saya sesuai status mohon dibantu saya jg lampirkan bukti webnya,permintaan kartu kia,permintaan kartu kia izin melaporkan bahwa saya telah melakukan permintaan penerbitan kartu kia untuk anak saya di web pemkab sumedang yaitu tahu sumedang go id dan di web nya status sudah selesai dalam pengiriman tapi saya belum menerima kartu kia nya berbeda dengan sblmnya permintaan ktp saya lewat web jg langsung jadi dan diterima saya sesuai status mohon dibantu saya jg lampirkan bukti webnya,LOW,,,
Proses penyelesaian sertifikat tanah yang tidak kunjung selesai,Proses penyelesaian sertifikat tanah yang tidak kunjung selesai. Disampaikan melalui Surat Aduan perihal Tindak lanjut atas pengaduan dan ketidaktepatan pelaksanaan surat pernyataan oleh pegawai kelurahan Situ,,https://www.lapor.go.id/laporan/detil/proses-penyelesaian-sertifikat-tanah-yang-tidak-kunjung-selesai-202601301428491769758129757,proses penyelesaian sertifikat tanah yang tidak kunjung selesai disampaikan melalui surat aduan perihal tindak lanjut atas pengaduan dan ketidaktepatan pelaksanaan surat pernyataan oleh pegawai kelurahan situ,proses penyelesaian sertifikat tanah yang tidak kunjung selesai,proses penyelesaian sertifikat tanah yang tidak kunjung selesai proses penyelesaian sertifikat tanah yang tidak kunjung selesai disampaikan melalui surat aduan perihal tindak lanjut atas pengaduan dan ketidaktepatan pelaksanaan surat pernyataan oleh pegawai kelurahan situ,LOW,,,
"Pengaduan Pasien melalui Google Review dan WhatsApp Pengaduan Tgl 15 November 2025 Sumedang, 18 November 2025 Kepada : Yth. Bapak/Ibu Pasien RSUD Umar Wirahadikusumah Kabupaten Sumedang di","1.Pelayanan kinerja pekerja rumah sakit terhadap pasien2.Untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan?3.Kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd ? 4. Kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien ?55.Alasan di tolak icu karena penolakan tindakan operasi, tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu? Syarat masuk icu emang harus apa operasi saja?66.Jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak.67.Jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada68.Jangan suka memilah pasien karena bpjs nya dari pemerintah69.Tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaTerimakasihSaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang, percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan.Pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya.Terimakasih",,https://www.lapor.go.id/laporan/detil/pengaduan-pasien-melalui-google-review-dan-whatsapp-pengaduan-tgl-15-november-2025-sumedang-18-november-2025-kepada-yth-bapak-ibu-pasien-rsud-umar-wirahadikusumah-kabupaten-sumedang-di-202512121349051765522145188,pelayanan kinerja pekerja rumah sakit terhadap pasien untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien alasan di tolak icu karena penolakan tindakan operasi tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu syarat masuk icu emang harus apa operasi saja jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada jangan suka memilah pasien karena bpjs nya dari pemerintah tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaterimakasihsaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya terimakasih,pengaduan pasien melalui google review dan whatsapp pengaduan tgl november sumedang november kepada yth bapak ibu pasien rsud umar wirahadikusumah kabupaten sumedang di,pengaduan pasien melalui google review dan whatsapp pengaduan tgl november sumedang november kepada yth bapak ibu pasien rsud umar wirahadikusumah kabupaten sumedang di pelayanan kinerja pekerja rumah sakit terhadap pasien untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien alasan di tolak icu karena penolakan tindakan operasi tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu syarat masuk icu emang harus apa operasi saja jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada jangan suka memilah pasien karena bpjs nya dari pemerintah tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaterimakasihsaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya terimakasih,HIGH,,,
Informasi Benih Ikan,Upami bibit nila merah bangkok nyondong pak?,,https://www.lapor.go.id/laporan/detil/informasi-benih-ikan-202604061158061775451486916,upami bibit nila merah bangkok nyondong bapak,informasi benih ikan,informasi benih ikan upami bibit nila merah bangkok nyondong bapak,LOW,,,
TPT halaman Rumah Ambruk akibat intensitas Hujan Lebat,"Um'at, 10 April 2026 pkl 16.45 WIBLokasi : Dusun Cibawang RT 01 RW 11 Desa Sukasirnarasa Kec. RancakalongPada hari Jumat, 10 April 2026 Pukul 16.45 WIB cuaca EXTREME ( Hujan dengan Intensitas Tinggi) mengakibatkan TPT halaman rumah longsor panjang 10 meter dan tinggi 4 meter.",,https://www.lapor.go.id/laporan/detil/tpt-halaman-rumah-ambruk-akibat-intensitas-hujan-lebat-202604140833331776130413241,um at april pkl wiblokasi dusun cibawang rukun tetangga rukun warga desa sukasirnarasa kec rancakalongpada hari jumat april pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt halaman rumah longsor panjang meter dan tinggi meter,tpt halaman rumah ambruk akibat intensitas hujan lebat,tpt halaman rumah ambruk akibat intensitas hujan lebat um at april pkl wiblokasi dusun cibawang rukun tetangga rukun warga desa sukasirnarasa kec rancakalongpada hari jumat april pukul wib cuaca extreme hujan dengan intensitas tinggi mengakibatkan tpt halaman rumah longsor panjang meter dan tinggi meter,HIGH,,,
Saran Terkait Cara Untuk Mendorong Minat Kaum Muda Masuk Ke Sektor Pertanian,"Mantap, seperti itulah sebaran petani di Sumedang berdasarkan usia, tinggal bagaimana caranya agar dapat mendorong minat kaum muda dapat turun ke sektor pertanian sebagai pelaku usaha sekaligus pekerja, mudah mudahan dapat solusi yang terbaik untuk kemajuan sektor pertanian di Kabupaten Sumedang. Tetap Semangat",,https://www.lapor.go.id/laporan/detil/saran-terkait-cara-untuk-mendorong-minat-kaum-muda-masuk-ke-sektor-pertanian-202512312131341767191494074,mantap seperti itulah sebaran petani di sumedang berdasarkan usia tinggal bagaimana caranya agar dapat mendorong minat kaum muda dapat turun ke sektor pertanian sebagai pelaku usaha sekaligus pekerja mudah mudahan dapat solusi yang terbaik untuk kemajuan sektor pertanian di kabupaten sumedang tetap semangat,saran terkait cara untuk mendorong minat kaum muda masuk ke sektor pertanian,saran terkait cara untuk mendorong minat kaum muda masuk ke sektor pertanian mantap seperti itulah sebaran petani di sumedang berdasarkan usia tinggal bagaimana caranya agar dapat mendorong minat kaum muda dapat turun ke sektor pertanian sebagai pelaku usaha sekaligus pekerja mudah mudahan dapat solusi yang terbaik untuk kemajuan sektor pertanian di kabupaten sumedang tetap semangat,LOW,,,
Pembuatan NIB,"Apakah pembuatan Izin Mendirikan Bangunan (IMB) bisa dibuat di Kantor Kecamatan ?, kalau bisa persyaratannya apa saja?",,https://www.lapor.go.id/laporan/detil/pembuatan-nib-202512221249011766382541168,apakah pembuatan izin mendirikan bangunan imb bisa dibuat di kantor kecamatan kalau bisa persyaratannya apa saja,pembuatan nib,pembuatan nib apakah pembuatan izin mendirikan bangunan imb bisa dibuat di kantor kecamatan kalau bisa persyaratannya apa saja,LOW,,,
Permohonan Dokumen KK,Menanyakan Dokumen KK atas Nama Iroh Sudah selesai apa belum,,https://www.lapor.go.id/laporan/detil/permohonan-dokumen-kk-202601192023191768828999415,menanyakan dokumen kk atas nama iroh sudah selesai apa belum,permohonan dokumen kk,permohonan dokumen kk menanyakan dokumen kk atas nama iroh sudah selesai apa belum,LOW,,,
